,Stars,Text,stopwords,punctuation,numerics,upper,word_count,char_count,avg_word,polarity,subjectivity
0,5, worth soft soothe moisturize definitely worth money think mist work great use apply make,6,7,0,1,15,89,5.4,0.375,0.32499999999999996
1,5, five star one perfect love comfortable smoothly good function red face,4,3,0,1,12,71,5.5,0.5199999999999999,0.6000000000000001
2,5, felt face either dry oily always like can not believe much skin improve use week felt face either dry oily always like,22,3,0,2,23,119,4.4,0.022222222222222237,0.4666666666666666
3,5, five star love thermal water best one available,1,2,0,0,9,48,5.0,0.6333333333333333,0.4333333333333333
4,4, work great set make cool flush face be try thermal water band amazon work great set make cool flush face one actually least favourite among three try spray gentle someone comment smell band nothing really wrong prefer la rise say eau thermal avenue brand,37,7,0,0,45,255,4.8,0.24285714285714283,0.7000000000000001
5,3, love spray flash moisture love spray flash moisture three star due shipping nothing wrong purchase show three stock make order show one stock mean get within two day take week deliver,24,9,0,5,32,184,4.9,0.0125,0.6325000000000001
6,5, five star love,0,1,0,1,4,15,4.0,0.5,0.6
7,5, five star excellent order wife need spray every week,1,2,2,1,10,53,4.9,1.0,1.0
8,5, love great much well lip water taste salt isotonic love definitely purchase future,9,7,0,1,14,83,5.4,0.3333333333333333,0.46249999999999997
9,5, clear skin can tell many give try year super sensitive reactive acne prone skin pretty much everything break must life save in diligent miss skin thermal water least several time day skin calm clear order bottle month much unfordable skin care give try year clear acne effective give try thermal water think skin really like silliness one literally taste get mist lip anyway acne give try effective,60,14,0,3,68,399,5.0,0.2188888888888889,0.5044444444444445
10,1, arrive damage dirty look use spray dirty scratch arrival even dirt inside cap spray spray doesn feel full already use feel comfortable use unfortunately can return checked carefully order,19,7,0,1,30,188,5.5,-0.17500000000000002,0.8250000000000001
11,4, love arrival seal cap broken since spray still use safely spray use,13,4,0,2,13,68,4.7,0.19999999999999998,0.5
12,5, ok ok,0,0,0,0,3,6,2.0,0.5,0.5
13,4, good convenient soothe sensitive skin,2,1,0,0,6,38,6.6,0.39999999999999997,0.75
14,5, good clean well sterile last long,2,1,0,0,7,34,4.7,0.25416666666666665,0.44166666666666676
15,5, highly recommend good one,0,2,0,0,5,26,5.5,0.43,0.5700000000000001
16,5, love moisturize use avenue thermal spring water like one well good cost effective,5,4,0,1,14,82,5.3,0.6,0.6666666666666666
17,5, cool nice cool refreshment good hot day refresh,5,1,0,0,9,48,5.0,0.45,0.75
18,5, good quality good quality fast delivery,1,0,0,0,7,40,5.7,0.5333333333333333,0.6000000000000001
19,5, great eczema love stuff good eczema class skin give lot nutrient,8,3,0,0,12,65,4.9,0.6666666666666666,0.65
20,5, satisfied come slightly damage however nothing serious like thermal water apply everyday shower continue serum lotion moisturizer think one cheapest thermal water mark didn observe difference rise say though,15,10,0,5,30,208,6.2,-0.04999999999999999,0.6083333333333334
21,5, easy usegreat value money great apply hyaluronic acid face,8,4,0,1,10,59,5.6,0.6166666666666667,0.7916666666666667
22,5, good quality quantity price love bridge thermal water every day saw knew buy,5,6,0,5,14,77,4.9,0.6,0.6000000000000001
23,5, great sensitive skin spray head awesome soothe sensitive skin definitely buy,7,4,0,0,12,77,6.0,0.4,0.8099999999999999
24,5, great use band one feel great skin sometimes even skin moisturizer,7,1,0,2,12,67,5.1,0.8,0.75
25,5, great great,0,0,0,0,3,12,5.0,0.8,0.75
26,3, three star see effect water,5,2,0,0,6,28,4.6,0.0,0.0
27,5, exactly want refresh exactly want refresh lot mineral skin can go without,15,6,0,0,13,74,5.2,0.25,0.25
